"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020- 05- 12","431.82","442.00","444.17","431.36","4.60M","-1.97%"
"2020- 05- 11","440.52","436.33","444.89","435.56","5.49M","1.14%"
"2020- 05- 08","435.55","434.14","442.00","433.64","5.05M","-0.22%"
"2020- 05- 07","436.53","436.89","438.88","430.66","5.65M","0.52%"
"2020- 05- 06","434.26","429.30","439.77","426.39","6.66M","2.26%"
"2020- 05- 05","424.68","427.55","431.00","421.56","6.29M","-0.81%"
"2020- 05- 04","428.15","417.78","428.54","414.87","7.80M","3.10%"
"2020- 05- 01","415.27","415.10","427.97","411.73","8.30M","-1.09%"
"2020- 04- 30","419.85","410.31","424.44","408.00","7.95M","1.93%"
"2020- 04- 29","411.89","399.53","415.86","393.60","9.69M","2.00%"
"2020- 04- 28","403.83","419.99","421.00","402.91","10.10M","-4.16%"
"2020- 04- 27","421.38","425.00","429.00","420.84","6.28M","-0.85%"
"2020- 04- 24","424.99","425.00","427.17","415.88","8.67M","-0.40%"
"2020- 04- 23","426.70","419.26","438.41","419.26","13.95M","1.25%"
"2020- 04- 22","421.42","429.73","433.00","413.00","21.12M","-2.86%"
"2020- 04- 21","433.83","444.77","447.00","425.60","23.18M","-0.84%"
"2020- 04- 20","437.49","435.17","444.49","430.56","12.66M","3.44%"
"2020- 04- 17","422.96","431.00","432.00","414.70","12.62M","-3.69%"
"2020- 04- 16","439.17","437.00","449.52","431.61","16.13M","2.91%"
"2020- 04- 15","426.75","413.00","434.98","412.25","13.56M","3.19%"
"2020- 04- 14","413.55","397.50","417.82","394.85","11.58M","4.24%"
"2020- 04- 13","396.72","371.31","400.51","367.70","11.69M","7.01%"
"2020- 04- 09","370.72","371.06","372.10","363.03","7.71M","-0.11%"
"2020- 04- 08","371.12","374.01","378.39","368.31","6.91M","-0.31%"
"2020- 04- 07","372.28","380.00","381.33","369.34","7.05M","-2.02%"
"2020- 04- 06","379.96","365.22","380.29","361.71","8.18M","5.03%"
"2020- 04- 03","361.76","367.47","370.90","357.51","4.86M","-2.25%"
