NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1185,동네오빠들 무삭제판,최정자,주식회사 플릭스코,,주식회사 플릭스코,20200813,개봉영화,장편,한국,1,6000,1,0,0,드라마,청소년관람불가,일반영화
1186,동생 남친 돌려쓰기 무삭제판,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,20200901,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1187,동생의 어린 아내,오자키 히로코우지,,(주)플라이어,(주)플라이어,20200218,개봉영화,장편,일본,1,6000,1,0,0,드라마,청소년관람불가,일반영화
1188,동생의 어린 아내-무삭제판,오자키 히로코우지,,,(주)플라이어,20200929,개봉영화,장편,일본,1,6000,1,0,0,드라마,청소년관람불가,일반영화
1189,동생의 젊은 아내-감독판,이재금,제이투프로덕션,,(주)소나무픽쳐스,20200123,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1190,두 남자와 노는 여자,조조 히데오,,유한회사 영화사 반딧불,유한회사 영화사 반딧불,20200214,개봉영화,장편,일본,1,5000,1,0,0,기타,청소년관람불가,일반영화
1191,두근두근펜션,김레이,P&미디어,,P&미디어,20200720,개봉영화,장편,한국,1,2000,1,2000,1,멜로/로맨스,청소년관람불가,일반영화
1192,두처제3,이정석,스마일컨텐츠,,스마일컨텐츠,20200410,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1193,두처제3-무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,20200617,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1194,듬뿍 젖은 새엄마 - 실컷 흥분 한 날,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200201,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1195,딥한 관계,맹진사,골든타이드픽처스(주),,골든타이드픽처스(주),20200710,개봉영화,장편,한국,1,5000,1,0,0,기타,청소년관람불가,일반영화
1196,딴놈의 아내,최정자,주식회사 플릭스코,,주식회사 플릭스코,20200803,개봉영화,장편,한국,1,6000,1,0,0,드라마,청소년관람불가,일반영화
1197,딸의 애인 3 - 무삭제판,정진호,모히또필름,,(주)컨텐츠 빌리지,20200318,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1198,딸의 친구 5 - 무삭제판,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,20201028,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1199,뜨거운 며느리,버드맨 텟페이,,(주)영진크리에이티브,(주)영진크리에이티브,20200609,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1200,뜨거운 새엄마,키무라 히로유키,,(주)영진크리에이티브,(주)영진크리에이티브,20200703,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1201,뜨거운 유부녀들,아카바네 키쿠지로,,(주)영진크리에이티브,(주)영진크리에이티브,20200207,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
